genre,community,name,size
Local Community,WA,KCR-FM,5000
Local Community,WA,Twin Cities FM,5000
Music,Country,todayscountry94one,57000
Music,Educational,2SER,200000
Music,Educational,2WEB,5000
Music,Educational,3RRR,329000
Music,Educational,5UV,88000
Music,Educational,6NR,5000
Music,Fine,1ART,5000
Music,Fine,2MBS,200000
Music,Fine,3MBS,100000
Music,Fine,4MBS,5000
Music,Fine,5MBS,5000
Music,Nostalgia,Radio Yesteryear,5000
Music,Progressive,3PBS,200000
Music,Progressive,4ZZZ,96000
Music,Progressive,5DDD,5000
Music,Progressive,6RTR,5000
Music,Youth,2CHY,5000
Music,Youth,90.7 SYN FM,5000
Music,Youth,92.5 FM,5000
Music,Youth,BIR,5000
Music,Youth,Edge Radio 99.3,5000
Music,Youth,FBi,255000
Music,Youth,Fresh FM,5000
Music,Youth,Radio Metro,5000
Specific Interest,Community Access,3CR,5000
Specific Interest,Ethnic - General,1CMS,5000
Specific Interest,Ethnic - General,3ZZZ,400000
Specific Interest,Ethnic - General,4EB,5000
Specific Interest,Ethnic - General,5EBI,5000
Specific Interest,Ethnic - General,6EBA,5000
Specific Interest,Ethnic - General,Radio 2000,5000
Specific Interest,Local Sports,SportFM,5000
Specific Interest,Print Handicapped,1RPH,5000
Specific Interest,Print Handicapped,2APH,5000
Specific Interest,Print Handicapped,2RPH,5000
Specific Interest,Print Handicapped,3BPH,5000
Specific Interest,Print Handicapped,3GPH,5000
Specific Interest,Print Handicapped,3MPH,5000
Specific Interest,Print Handicapped,3RPH,5000
Specific Interest,Print Handicapped,3SPH,5000
Specific Interest,Print Handicapped,4RPH,5000
Specific Interest,Print Handicapped,5RPH,5000
Specific Interest,Print Handicapped,6RPH,5000
Specific Interest,Print Handicapped,7RPH,5000
Specific Interest,Religious - Christian,1WAY FM,5000
Specific Interest,Religious - Christian,2BCB,5000
Specific Interest,Religious - Christian,2CCB,5000
Specific Interest,Religious - Christian,2DCB,5000
Specific Interest,Religious - Christian,2LIV,5000
Specific Interest,Religious - Christian,2PMQ,5000
Specific Interest,Religious - Christian,3BGR,5000
Specific Interest,Religious - Christian,3WTL,5000
Specific Interest,Religious - Christian,4GCR,5000
Specific Interest,Religious - Christian,4MIG,5000
Specific Interest,Religious - Christian,6ESP,5000
Specific Interest,Religious - Christian,6SON,5000
Specific Interest,Religious - Christian,7HFC,5000
Specific Interest,Religious - Christian,7WAY,5000
Specific Interest,Religious - Christian,8GGG,5000
Specific Interest,Religious - Christian,91.9 FM,5000
Specific Interest,Religious - Christian,92.9 Voice FM,5000
Specific Interest,Religious - Christian,Family FM,5000
Specific Interest,Religious - Christian,Hope 103.2,5000
Specific Interest,Religious - Christian,Life FM,5000
Specific Interest,Religious - Christian,Life FM,5000
Specific Interest,Religious - Christian,Life FM,5000
Specific Interest,Religious - Christian,Life FM,5000
Specific Interest,Religious - Christian,Light FM,364000
Specific Interest,Religious - Christian,Lime FM,5000
Specific Interest,Religious - Christian,Live FM,5000
Specific Interest,Religious - Christian,Radio Rhema,5000
Specific Interest,Religious - Christian,Rhema FM,5000
Specific Interest,Religious - Christian,RHEMA FM,5000
Specific Interest,Religious - Christian,Rhema FM,5000
Specific Interest,Religious - Christian,Rhema FM,5000
Specific Interest,Religious - Christian,Rhema FM 103.1,5000
Specific Interest,Religious - Christian,Rhema FM Wide,5000
Specific Interest,Religious - Islamic,Muslim Community Radio,5000
Specific Interest,Senior Citizens,4CRB,5000
Specific Interest,Senior Citizens,6SEN,5000
Specific Interest,Senior Citizens,EZY FM,5000
Specific Interest,Senior Citizens,Golden Days Radio,5000
Specific Interest,Senior Citizens,Jazz Radio 94.1 FM,5000
Specific Interest,Senior Citizens,Paradise FM,5000
Specific Interest,Senior Citizens,Radio Five-O-Plus,5000
Specific Interest,Senior Citizens,Radio KLFM,5000
Specific Interest,Senior Citizens,Sunshine FM,5000
