on_air_id,community,lon,lat,licensee,description
4US,ROCKHAMPTON,150.5138855,-23.38694382,Central Queensland Aboriginal,Aboriginal
4YOU,ROCKHAMPTON,150.5138855,-23.38694382,Capricorn Community Radio 4 YOU,General Geographic Area
4ZZZ,BRISBANE,153.0280151,-27.46784782,Creative Broadcasters Ltd,Progressive Music
5CCR,CEDUNA,133.6738586,-32.12372589,Ceduna Community Radio Inc.,General Geographic Area
5CST,ADELAIDE,138.6010132,-34.92869186,Southern and Western Community,General Geographic Area
5DDD,ADELAIDE,138.6010132,-34.92869186,Progressive Music Broadcasting,Progressive Music
5EBI,ADELAIDE,138.6010132,-34.92869186,Ethnic Broadcasters Inc.,Ethnic - General
5EFM,VICTOR HARBOR,138.6194763,-35.55157852,Encounter FM Community,General Geographic Area
5GTR,MOUNT GAMBIER,140.7552948,-37.83983994,South East Community Access,General Geographic Area
5KIX,KANGAROO ISLAND,137.2052612,-35.81169891,Kangaroo Island Community,General Geographic Area
5MBS,ADELAIDE FOOTHILLS,138.5980835,-34.91968918,Music Broadcasting Society of,Fine Music
5PBA,SALISBURY,138.6422729,-34.76390839,Para Broadcasters Association Inc.,General Geographic Area
5RPH,ADELAIDE,138.6010132,-34.92869186,Vision Australia Limited,Print Handicapped
5RRR,WOOMERA,136.8133698,-31.16513062,Woomera Access Radio Inc.,General Geographic Area
5TCB,OLD BORDERTOWN,146.2333374,-36.16667175,Tatiara Community FM,General Geographic Area
5THE,MILLICENT,140.3537598,-37.59527969,Millicent Community Access Radio,General Geographic Area
5UMA,PORT AUGUSTA,137.763504,-32.5027504,Umeewarra Aboriginal Media,Aboriginal
5UV,ADELAIDE,138.6010132,-34.92869186,University of Adelaide,Educational
5YYY,WHYALLA,137.4396057,-32.82700729,Whyalla FM Public Broadcasting,General Geographic Area
6CCR,FREMANTLE,115.7453995,-32.0426712,Creative Community Radio Inc.,General Geographic Area
6CRA,ALBANY,117.8837967,-35.01739883,Albany Community Radio Inc.,General Geographic Area
6DBY,DERBY,123.6288986,-17.30332947,Derby Media Aboriginal Corporation,Aboriginal
6EBA,PERTH,115.8593979,-31.95111084,Multicultural Radio & TV Association,Ethnic - General
6ESP,ESPERANCE,121.6681976,-33.58206177,Esperance Sonshine Broadcasters,Religious - Christian
6FX,FITZROY CROSSING,125.5914001,-18.17806053,Wangki Yupurnanupurru Aboriginal,Aboriginal
6MKA,MEEKATHARRA,118.4966965,-26.59119987,Meeka FM Community Radio,General Geographic Area
6NEW,NEWMAN,119.2268982,-23.01333046,Newman Community Radio Inc.,General Geographic Area
6NME,PERTH,115.8593979,-31.95111084,Peedac Pty Ltd,Aboriginal
6NR,PERTH,115.8593979,-31.95111084,Curtin University of Technology,Educational
6PRK,HALLS CREEK,127.6678009,-18.22722054,Puranyangu-Rangka Kerrem,Aboriginal
6RPH,PERTH,115.8593979,-31.95111084,Foundation for Information Radio of,Print Handicapped
6RTR,PERTH,115.8593979,-31.95111084,Arts Radio Ltd,Progressive Music
6SEN,PERTH,115.8593979,-31.95111084,Capital Community Radio Inc.,Senior Citizens
6SON,PERTH,115.8593979,-31.95111084,Good News Broadcasters Inc.,Religious - Christian
6WR,KUNUNURRA,128.7395935,-15.77272987,Waringarri Media Aboriginal,Aboriginal
